Year,Month,Power Source,Total Investment (rmb x 100 million yuan),Cumulative YOY Growth
2013,9,Wind,331,
2010,4,Coal,286,
2018,7,Hydro,299,17.9
2018,3,Hydro,105,14.1
2012,12,Coal,1014,-10.5
2017,8,Wind,327.7554,-14.54859034
2015,3,Coal,157,12.3
2012,11,Nuclear,650,
2015,2,Wind,85,192.4
2010,9,Wind,534,
2015,8,Wind,1014,
2011,6,Hydro,379,
2013,2,Nuclear,72,
2012,5,All,1143,
2016,9,Wind,462,-29.22171443
2009,8,Coal,710,
2016,6,Hydro,226,-17.94291936
2010,9,Hydro,466,
2010,8,Nuclear,359,
2012,10,All,2676,
2018,7,All,1238,-1.4
2018,9,Hydro,404,19
2018,10,Coal,575,0.4
2010,4,Nuclear,156,
2012,7,Hydro,626,
2011,3,Wind,91,
2010,5,Coal,386,
2009,9,Nuclear,374,
2011,3,Coal,207,
2011,12,Nuclear,740,0.14
2013,11,Nuclear,525,
2014,9,Coal,574,
2009,9,Coal,832,
2014,12,Hydro,960,-21.5
2012,8,All,1987,
2016,10,All,2388.057651,-8.125952025
2016,11,Coal,928.08653,-5.298411689
2016,12,All,3428.966233,-12.88713587
2017,3,Hydro,91.57264,-13.22340109
2017,5,Hydro,168.084014,-5.754236502
2017,11,Hydro,492.116,2.085911212
2010,10,Hydro,563,
2012,2,Coal,79,
2011,5,Hydro,305,
2016,4,Hydro,139,-19.42778152
2012,10,Coal,717,
2009,12,All,3711,
2018,8,Wind,258,-21.2
2012,8,Hydro,728,
2011,6,All,1501,
2010,5,All,1020,
2014,8,Hydro,444,
2014,2,Wind,29,
2016,5,All,903,-8.130722907
2016,4,Nuclear,129,2.663339283
2009,12,Coal,1492,
2012,10,Hydro,912,
2018,2,All,252,8.2
2018,4,Wind,94,2.6
2011,2,Hydro,85,
2014,4,Nuclear,142,
2012,3,Coal,141,
2014,7,Wind,357,
2013,2,Coal,93,
2018,8,Coal,449,6.1
